Active,Ativo,
Address,Endereço,
Amended From,Alterado De,
Call,Chamada Telefônica,
Cancelled,Cancelado,
Company,Empresa,
Currency,Moeda,
Current,Atual,
Date,Data,
Description,Descrição,
Enabled,Ativado,
Expired,Expirado,
From,De,
Image,Imagem,
Introduction,Introdução,
Keyboard Shortcuts,Atalhos do teclado,
Meeting,Reunião,
Monthly,Mensal,
New,Novo,
Note,Nota,
Open,Abrir,
Other,Outro,
Pending,Pendente,
Phone,Telefone,
Published,Publicado,
Reload,Recarregar,
Route,Rota,
Session Defaults,Padrões de Sessão,
System Manager,Administrador do Sistema,
To,Para,
Type,Tipo,
User,Usuário,
Validity,Validade,
Weekdays,Dias da Semana,
Weekly,Semanalmente,
Yearly,Anual,
