About,Om,
Active,Aktiv,
Address,Adress,
Amended From,Ändrad Från,
Apps,Appar,
Call,Samtal,
Cancelled,Annullerad,
Company,Bolag,
Currency,Valuta,
Current,Aktuell,
Date,Datum,
Description,Beskrivning,
Email,E-post,
Email Address,E-postadress,
Email Template,E-post Mall,
Enabled,Aktiverad,
Expired,Utgången,
Frappe Support,Frappe Support,
From,Från,
Image,Bild,
Introduction,Introduktion,
Keyboard Shortcuts,Kort Kommando,
Log out,Logga Ut,
Meeting,Möte,
Members,Medlemmar,
Monthly,Månadsvis,
My Profile,Min Profil,
My Settings,Mina Inställningar,
Naming Series,Nummer Serie,
New,Ny,
Note,Anteckning,
Open,Öppen,
Other,Annat,
Pending,Pågående,
Phone,Telefon,
Published,Publicerad,
Reload,Ladda om,
Route,Sökväg,
SMS,SMS,
Session Defaults,Session Inställningar,
System Manager,System Ansvarig,
To,Till,
Toggle Full Width,Växla Full Bredd,
Toggle Theme,Växla Tema,
Type,Typ,
Updates,Uppdateringar,
User,Användare,
Validity,Giltighet,
View Website,Visa Webbplats,
Weekdays,Vardagar,
Weekly,Veckovis,
Yearly,Årsvis,
